payment_id,order_id,amount,status,customer,timestamp,refund_amount
pay_5fdef82e,ORD1028,1099,captured,"Shruti Kapoor",2026-08-20T01:00:00.000Z,0
pay_8ea6568e,ORD1119,12499,captured,"Ramesh Iyer",2026-08-15T04:00:00.000Z,0
pay_1836d51d,ORD1124,1749,captured,"Ananya Gupta",2026-08-22T00:00:00.000Z,0
pay_4692ca2d,ORD1127,8999,captured,"Karan Malhotra",2026-08-28T10:00:00.000Z,0
pay_b0f1b0cb,ORD1009,6999,captured,"Shruti Kapoor",2026-08-06T09:00:00.000Z,0
pay_1d622995,ORD1017,6499,captured,"Amit Verma",2026-08-23T11:00:00.000Z,0
pay_9bfaf68b,ORD1071,1299,captured,"Deepak Choudhary",2026-08-11T06:00:00.000Z,0
pay_dfe7d800,ORD1116,3499,captured,"Kavya Nair",2026-08-26T10:00:00.000Z,0
pay_7a7e7032,ORD1005,2999,captured,"Sneha Iyer",2026-08-13T01:00:00.000Z,0
pay_f19a13c9,ORD1123,499,captured,"Ritu Saxena",2026-08-26T01:00:00.000Z,0
pay_ac4673e7,ORD1113,649,captured,"Aditya Kulkarni",2026-08-22T01:00:00.000Z,0
pay_bd0f6afe,ORD1115,12499,captured,"Gaurav Khanna",2026-08-22T05:00:00.000Z,0
pay_499d8103,ORD1035,1999,captured,"Vikram Singh",2026-08-22T05:00:00.000Z,0
pay_92abc5a0,ORD1110,24999,captured,"Ritu Saxena",2026-08-20T06:00:00.000Z,0
pay_438bab48,ORD1048,9499,captured,"Pooja Kulkarni",2026-08-19T00:00:00.000Z,0
pay_fdf5b284,ORD1106,6499,captured,"Siddharth Pillai",2026-08-18T08:00:00.000Z,0
pay_737a6d11,ORD1091,1499,captured,"Sanjay Das",2026-08-22T07:00:00.000Z,0
pay_45624546,ORD1045,11249,captured,"Shruti Kapoor",2026-08-06T11:00:00.000Z,0
pay_bc16bee8,ORD1087,4499,captured,"Karan Malhotra",2026-08-26T06:00:00.000Z,0
pay_b80c07e1,ORD1019,5499,captured,"Kavya Nair",2026-08-08T10:00:00.000Z,0
pay_59fc802d,ORD1023,5999,captured,"Farah Khan",2026-08-24T00:00:00.000Z,0
pay_f921ce3a,ORD1066,2999,captured,"Kunal Shah",2026-08-10T01:00:00.000Z,0
pay_c059ce02,ORD1118,499,captured,"Ritu Saxena",2026-08-25T04:00:00.000Z,0
pay_e2ec634b,ORD1021,1749,captured,"Amit Verma",2026-08-20T11:00:00.000Z,0
pay_f6aa1a01,ORD1059,3999,captured,"Prakash Yadav",2026-08-19T05:00:00.000Z,0
pay_0766dc2b,ORD1032,3299,captured,"Ritu Saxena",2026-08-08T10:00:00.000Z,0
pay_ea28653d,ORD1079,1749,captured,"Farah Khan",2026-08-25T03:00:00.000Z,0
pay_b537866c,ORD1090,7999,captured,"Arjun Reddy",2026-08-13T10:00:00.000Z,0
pay_d5aecaa3,ORD1065,24999,captured,"Arjun Reddy",2026-08-21T08:00:00.000Z,0
pay_46044787,ORD1112,14999,captured,"Prakash Yadav",2026-08-05T08:00:00.000Z,0
pay_55d84913,ORD1010,1499,captured,"Prakash Yadav",2026-08-05T01:00:00.000Z,0
pay_2f3bc48d,ORD1029,9499,captured,"Sneha Iyer",2026-08-30T01:00:00.000Z,0
pay_bb459c4b,ORD1004,18999,captured,"Karan Malhotra",2026-08-27T07:00:00.000Z,0
pay_cc8f5950,ORD1102,2499,captured,"Swati Mishra",2026-08-20T05:00:00.000Z,0
pay_1e722dec,ORD1098,1099,captured,"Ravi Shankar",2026-08-31T03:00:00.000Z,0
pay_194be229,ORD1034,6499,captured,"Deepak Choudhary",2026-08-05T08:00:00.000Z,0
pay_9ba58b9e,ORD1013,9999,captured,"Kavya Nair",2026-08-28T02:00:00.000Z,0
pay_df98b3ef,ORD1064,8999,captured,"Ananya Gupta",2026-08-15T08:00:00.000Z,0
pay_1f7b3318,ORD1078,1299,captured,"Harsha Vardhan",2026-08-08T01:00:00.000Z,0
pay_e4e8138a,ORD1050,5999,captured,"Tanya Bhatia",2026-08-06T02:00:00.000Z,0
pay_bf2a66a3,ORD1056,12499,captured,"Shruti Kapoor",2026-08-05T05:00:00.000Z,0
pay_61ddd331,ORD1016,1999,captured,"Anjali Desai",2026-08-19T07:00:00.000Z,0
pay_342eb10e,ORD1033,12499,captured,"Sneha Iyer",2026-08-30T00:00:00.000Z,0
pay_8881b26f,ORD1088,499,captured,"Ritu Saxena",2026-08-08T10:00:00.000Z,0
pay_6448fb43,ORD1036,799,captured,"Lakshmi Rao",2026-08-26T08:00:00.000Z,0
pay_ce49d6b2,ORD1003,13999,pending,"Farah Khan",2026-08-22T10:00:00.000Z,0
pay_87b0ea8d,ORD1014,6499,pending,"Karan Malhotra",2026-09-01T01:00:00.000Z,0
pay_387d9e73,ORD1046,12499,pending,"Meera Krishnan",2026-08-27T05:00:00.000Z,0
pay_adba319b,ORD1126,6444,captured,"Pooja Kulkarni",2026-08-09T04:00:00.000Z,0
pay_fab73ab7,ORD1042,1444,captured,"Arjun Reddy",2026-08-22T11:00:00.000Z,0
pay_54ea7f91,ORD1031,166,captured,"Aishwarya Nair",2026-08-30T04:00:00.000Z,0
pay_229a1b37,ORD1081,55,captured,"Deepak Choudhary",2026-08-07T04:00:00.000Z,0
pay_92ec24b6,ORD1024,17777,captured,"Sanjay Das",2026-08-11T04:00:00.000Z,0
pay_4ff52bbe,ORD1030,5499,captured,"Farah Khan",2026-08-10T09:00:00.000Z,0
pay_f060dc58,ORD1030,5499,captured,"Farah Khan",2026-08-07T08:00:00.000Z,0
pay_14b9529c,ORD1049,9999,captured,"Pallavi Iyer",2026-08-20T08:00:00.000Z,0
pay_ed9b6691,ORD1049,9999,captured,"Pallavi Iyer",2026-08-05T08:00:00.000Z,0
pay_a2a48c62,ORD1001,899,captured,"Sneha Iyer",2026-09-02T01:00:00.000Z,0
pay_06b55a06,ORD1001,899,captured,"Sneha Iyer",2026-08-19T00:00:00.000Z,0
pay_ae43a2f5,ORD1060,7999,captured,"Sneha Iyer",2026-08-19T06:00:00.000Z,0
pay_a5367c16,ORD1083,5999,captured,"Deepak Choudhary",2026-09-02T01:00:00.000Z,0
pay_fcb4e242,ORD1041,4499,captured,"Kunal Shah",2026-08-29T02:00:00.000Z,0
pay_17b8d13f,ORD1055,1999,refunded,"Pooja Kulkarni",2026-08-06T05:00:00.000Z,499
pay_5759f784,ORD1008,2499,refunded,"Divya Menon",2026-08-19T06:00:00.000Z,799
pay_c99d8be5,ORD1082,18999,captured,"Arjun Reddy",2026-08-24T08:00:00.000Z,0
pay_664642ff,ORD1125,1499,failed,"Anjali Desai",2026-08-14T03:00:00.000Z,0
pay_4e790ce7,,4999,captured,"Geeta Devi",2026-08-09T08:00:00.000Z,0
pay_74d53157,,2499,captured,"Aditya Kulkarni",2026-08-29T09:00:00.000Z,0
pay_180dd826,,1299,captured,"Vikram Singh",2026-09-03T03:00:00.000Z,0
