order_id,customer,expected_amount,order_status,order_date
ORD1104,"Lakshmi Rao",4499,paid,2026-08-07T03:00:00.000Z
ORD1105,"Priya Patel",8999,paid,2026-08-23T10:00:00.000Z
ORD1106,"Siddharth Pillai",6499,paid,2026-08-31T09:00:00.000Z
ORD1107,"Tanya Bhatia",649,paid,2026-09-02T02:00:00.000Z
ORD1108,"Ananya Gupta",7999,paid,2026-08-26T08:00:00.000Z
ORD1109,"Rohan Mehta",5499,paid,2026-08-27T05:00:00.000Z
ORD1110,"Ritu Saxena",24999,paid,2026-08-21T02:00:00.000Z
ORD1111,"Gaurav Khanna",4999,paid,2026-08-29T02:00:00.000Z
ORD1112,"Prakash Yadav",14999,paid,2026-08-20T00:00:00.000Z
ORD1113,"Aditya Kulkarni",649,paid,2026-08-23T06:00:00.000Z
ORD1114,"Shruti Kapoor",3999,paid,2026-08-05T04:00:00.000Z
ORD1115,"Gaurav Khanna",12499,paid,2026-08-25T04:00:00.000Z
ORD1116,"Kavya Nair",3499,paid,2026-08-31T01:00:00.000Z
ORD1117,"Shruti Kapoor",7999,paid,2026-08-14T08:00:00.000Z
ORD1118,"Ritu Saxena",499,paid,2026-08-21T11:00:00.000Z
ORD1119,"Ramesh Iyer",12499,paid,2026-09-01T07:00:00.000Z
ORD1120,"Priya Patel",6499,paid,2026-08-15T06:00:00.000Z
ORD1121,"Sanjay Das",3999,paid,2026-09-03T00:00:00.000Z
ORD1122,"Geeta Devi",1999,paid,2026-08-23T01:00:00.000Z
ORD1123,"Ritu Saxena",499,paid,2026-08-13T05:00:00.000Z
ORD1124,"Ananya Gupta",1749,paid,2026-08-15T01:00:00.000Z
ORD1125,"Anjali Desai",1499,paid,2026-08-23T11:00:00.000Z
ORD1126,"Pooja Kulkarni",6999,paid,2026-09-03T00:00:00.000Z
ORD1127,"Karan Malhotra",8999,paid,2026-08-14T01:00:00.000Z
